Date,balance,wager_net,daily_diff,perc_change,high,low,adjusted_high,open,close
2023-09-04,66445.98999999999,-4738.24,-4738.240000000005,-6.656305757609523,74031.5992,66445.98999999999,74031.5992,71184.23,66445.98999999999
2023-09-05,62174.84999999999,-4271.14,-4271.139999999999,-6.427987603164616,69103.8296,62174.84999999999,69103.8296,66445.98999999999,62174.84999999999
2023-09-06,63690.529999999984,9025.91,1515.679999999993,2.437770255979698,64661.84399999999,62174.84999999999,64661.84399999999,62174.84999999999,63690.529999999984
2023-09-07,70818.79,5198.26,7128.260000000009,11.192024936831285,70818.79,63690.529999999984,66238.1512,63690.529999999984,70818.79
2023-09-08,66241.68,-2861.61,-4577.110000000001,-6.463129347451433,73651.5416,66241.68,73651.5416,70818.79,66241.68
2023-09-09,88204.26,20247.079999999998,21962.58,33.15522794711729,88204.26,66241.68,68891.34719999999,66241.68,88204.26
2023-09-10,84877.91999999998,-8906.57,-3326.340000000011,-3.771178398866462,91732.4304,84877.91999999998,91732.4304,88204.26,84877.91999999998
2023-09-11,74856.92999999998,-10020.99,-10020.990000000005,-11.80635670619639,88273.03679999999,74856.92999999998,88273.03679999999,84877.91999999998,74856.92999999998
2023-09-12,78894.52999999998,9720.51,4037.600000000006,5.393755795221641,78894.52999999998,74856.92999999998,77851.20719999998,74856.92999999998,78894.52999999998
2023-09-13,81184.64999999998,2290.12,2290.1199999999953,2.9027614461991162,82050.31119999998,78894.52999999998,82050.31119999998,78894.52999999998,81184.64999999998
2023-09-14,86354.23,-3227.33,5169.580000000016,6.36768157527318,86354.23,81184.64999999998,84432.03599999998,81184.64999999998,86354.23
2023-09-15,90216.08,-1696.8199999999997,3861.850000000006,4.4721028720886125,90216.08,86354.23,89808.3992,86354.23,90216.08
2023-09-16,88825.63,13168.73,-1390.449999999997,-1.541244088636967,93824.72320000001,88825.63,93824.72320000001,90216.08,88825.63
2023-09-17,84385.31,-10726.83,-4440.320000000007,-4.998917542155352,92378.65520000001,84385.31,92378.65520000001,88825.63,84385.31
2023-09-18,82314.62000000001,-2070.69,-2070.689999999988,-2.453851268662742,87760.7224,82314.62000000001,87760.7224,84385.31,82314.62000000001
2023-09-19,80637.81000000001,-1676.81,-1676.8099999999977,-2.0370743374627707,85607.2048,80637.81000000001,85607.2048,82314.62000000001,80637.81000000001
2023-09-20,85111.25000000003,4473.4400000000005,4473.440000000017,5.547571294408933,85111.25000000003,80637.81000000001,83863.32240000002,80637.81000000001,85111.25000000003
2023-09-21,86039.62000000002,928.3699999999999,928.3699999999953,1.0907723714550015,88515.70000000003,85111.25000000003,88515.70000000003,85111.25000000003,86039.62000000002
2023-09-22,86918.27000000002,878.6500000000003,878.6499999999942,1.0212155748711977,89481.20480000002,86039.62000000002,89481.20480000002,86039.62000000002,86918.27000000002
2023-09-23,85124.59000000003,-1793.6799999999998,-1793.679999999993,-2.0636397848231365,90395.00080000002,85124.59000000003,90395.00080000002,86918.27000000002,85124.59000000003
2023-09-24,84237.48000000001,-887.1100000000004,-887.1100000000151,-1.042131304244772,88529.57360000003,84237.48000000001,88529.57360000003,85124.59000000003,84237.48000000001
2023-09-25,86749.41,2511.93,2511.929999999993,2.981962423377329,87606.97920000002,84237.48000000001,87606.97920000002,84237.48000000001,86749.41
2023-09-26,96125.12,9375.71,9375.709999999992,10.807808375872517,96125.12,86749.41,90219.3864,86749.41,96125.12
2023-09-27,112242.18,16117.06,16117.059999999998,16.766751500544288,112242.18,96125.12,99970.1248,96125.12,112242.18
2023-09-28,111404.54000000001,-837.6400000000003,-837.6399999999849,-0.7462791617197607,116731.8672,111404.54000000001,116731.8672,112242.18,111404.54000000001
2023-09-29,122312.73,10908.189999999999,10908.189999999988,9.791512985018374,122312.73,111404.54000000001,115860.72160000002,111404.54000000001,122312.73
2023-09-30,124921.88999999997,2609.1600000000003,2609.1599999999744,2.133187608517915,127205.2392,122312.73,127205.2392,122312.73,124921.88999999997
2023-10-01,129976.95999999996,5055.070000000001,5055.069999999992,4.0465846298034664,129976.95999999996,124921.88999999997,129918.76559999997,124921.88999999997,129976.95999999996
2023-10-02,130032.70999999996,55.75,55.75,0.042892217205264704,135176.03839999996,129976.95999999996,135176.03839999996,129976.95999999996,130032.70999999996
2023-10-03,126414.05999999997,-3618.6499999999996,-3618.649999999994,-2.782876708483577,135234.01839999997,126414.05999999997,135234.01839999997,130032.70999999996,126414.05999999997
2023-10-04,129657.95999999993,3243.8999999999996,3243.899999999965,2.566091145241254,131470.62239999996,126414.05999999997,131470.62239999996,126414.05999999997,129657.95999999993
2023-10-05,122945.45999999993,-6712.5,-6712.5,-5.177082841655077,134844.27839999992,122945.45999999993,134844.27839999992,129657.95999999993,122945.45999999993
2023-10-06,119967.15999999992,-723.02,-2978.3000000000175,-2.4224562663802462,127863.27839999994,119967.15999999992,127863.27839999994,122945.45999999993,119967.15999999992
2023-10-07,124535.10999999993,-794.1399999999999,4567.950000000012,3.8076670315443115,124765.84639999992,119967.15999999992,124765.84639999992,119967.15999999992,124535.10999999993
2023-10-08,116788.30999999992,-4639.99,-7746.800000000003,-6.220575065136255,129516.51439999993,116788.30999999992,129516.51439999993,124535.10999999993,116788.30999999992
2023-10-09,114688.74999999993,-2099.56,-2099.5599999999977,-1.797748421909692,121459.84239999992,114688.74999999993,121459.84239999992,116788.30999999992,114688.74999999993
2023-10-10,118568.38999999994,2532.82,3879.640000000014,3.382755501302452,119276.29999999993,114688.74999999993,119276.29999999993,114688.74999999993,118568.38999999994
2023-10-11,119354.65999999995,2133.0899999999997,786.2700000000041,0.6631362709740805,123311.12559999994,118568.38999999994,123311.12559999994,118568.38999999994,119354.65999999995
2023-10-12,109007.94999999994,-10346.710000000001,-10346.710000000006,-8.668878115022917,124128.84639999995,109007.94999999994,124128.84639999995,119354.65999999995,109007.94999999994
2023-10-13,115257.66999999994,6249.719999999999,6249.720000000001,5.733269912882505,115257.66999999994,109007.94999999994,113368.26799999994,109007.94999999994,115257.66999999994
2023-10-14,128230.27999999994,8671.4,12972.61,11.255311685547701,128230.27999999994,115257.66999999994,119867.97679999995,115257.66999999994,128230.27999999994
2023-10-15,144746.89999999994,20817.83,16516.619999999995,12.88043666441343,144746.89999999994,128230.27999999994,133359.49119999993,128230.27999999994,144746.89999999994
